[nn_tt_emulation.py:46 -   <module>()] 2023-04-14 00:29:06,021 INFO This is NN-TT Emulation training script
[nn_tt_emulation.py:95 -   <module>()] 2023-04-14 00:29:06,027 INFO ODE-FUNC Model = <class 'phd_experiments.hybrid_node_tt.models.NNodeFunc'> , learnable-numel = 2813
[nn_tt_emulation.py:96 -   <module>()] 2023-04-14 00:29:06,027 INFO Running with config : 
 {'train': {'log-level': 'debug', 'seed': 42, 'N': 1024, 'loss': 'mse', 'device': 'cpu', 'epochs': 1, 'batch_size': 64, 'lr': 0.1, 'dataset': 'boston-housing', 'ratio': 0.8, 'shuffle': True, 'regularization': {'method': 'lp', 'p': 2}, 'dtype': 'torch.float32', 'epochs_block': 100, 'models_dir': '/home/mbaddar/phd/augmented-neural-odes/phd_experiments/hybrid_node_tt/ode_func_models'}, 'init': {'method': 'uniform', 'uniform': {'low': -0.05, 'high': 0.05}, 'normal': {'mean': 0.0, 'std': 0.1}}, 'container': {'latent-dim': 13}, 'projection': {'learnable': False, 'activation': 'identity'}, 'output': {'activation': 'identity', 'learnable': False, 'full': 0.1}, 'ode': {'solver': {'t-span': [0, 0.6], 'method': 'rk45', 'euler': {'step-size': 0.1}, 'rk45': {'rtol': 0.001}}, 'emulation': True, 'model': 'nn', 'tt': {'activation': 'identity', 'rank': '3', 'basis': {'model': 'poly', 'poly': {'deg': 4}, 'rbf': {'window': 1.0}}}, 'nn': {'hidden-dim': 100, 'save': True}}}
=============

[nn_tt_emulation.py:101 -   <module>()] 2023-04-14 00:29:06,027 INFO Generating trajectory dzdt=NN([z,t]) data with trained nn-ode-func
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,037 INFO Epoch # 0 - Batch # 0 = 0.0003212591400370002
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,044 INFO Epoch # 0 - Batch # 1 = 0.00012188220716780052
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,052 INFO Epoch # 0 - Batch # 2 = 0.00012124561180826277
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,059 INFO Epoch # 0 - Batch # 3 = 8.723224163986742e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,067 INFO Epoch # 0 - Batch # 4 = 9.916974522639066e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,074 INFO Epoch # 0 - Batch # 5 = 9.660294745117426e-05
[nn_tt_emulation.py:108 -   <module>()] 2023-04-14 00:29:06,080 INFO Epoch # 0 - Batch # 6 = 0.00048250757390633225
[nn_tt_emulation.py:110 -   <module>()] 2023-04-14 00:29:06,081 INFO ============================================
[nn_tt_emulation.py:111 -   <module>()] 2023-04-14 00:29:06,081 INFO Emulation mode : training tt-ode-func over generated trajectory
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:07,727 INFO Emulation - Epoch # 0 - loss => 1.27599440798873
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:07,806 INFO Emulation - Epoch # 1 - loss => 0.29559658541952893
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:07,885 INFO Emulation - Epoch # 2 - loss => 0.21323135856426123
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:07,966 INFO Emulation - Epoch # 3 - loss => 0.17257296053684634
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,045 INFO Emulation - Epoch # 4 - loss => 0.14788401165565887
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,124 INFO Emulation - Epoch # 5 - loss => 0.13127496061257984
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,203 INFO Emulation - Epoch # 6 - loss => 0.1175407398153435
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,282 INFO Emulation - Epoch # 7 - loss => 0.10653791362137506
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,361 INFO Emulation - Epoch # 8 - loss => 0.0974145123081935
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,442 INFO Emulation - Epoch # 9 - loss => 0.09006027708805743
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,522 INFO Emulation - Epoch # 10 - loss => 0.08398069223606741
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,600 INFO Emulation - Epoch # 11 - loss => 0.07889091538757215
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,681 INFO Emulation - Epoch # 12 - loss => 0.07452936748695838
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,761 INFO Emulation - Epoch # 13 - loss => 0.07073175870849714
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,840 INFO Emulation - Epoch # 14 - loss => 0.06738148770774856
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:08,919 INFO Emulation - Epoch # 15 - loss => 0.06439611349593509
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,000 INFO Emulation - Epoch # 16 - loss => 0.06171193450399033
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,079 INFO Emulation - Epoch # 17 - loss => 0.059277771032733836
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,159 INFO Emulation - Epoch # 18 - loss => 0.057054123966208785
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,238 INFO Emulation - Epoch # 19 - loss => 0.05501076863731915
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,317 INFO Emulation - Epoch # 20 - loss => 0.053125239271686706
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,397 INFO Emulation - Epoch # 21 - loss => 0.05138015612008381
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,477 INFO Emulation - Epoch # 22 - loss => 0.049761518969067504
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,556 INFO Emulation - Epoch # 23 - loss => 0.04825736956017745
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,635 INFO Emulation - Epoch # 24 - loss => 0.04685704832598245
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,715 INFO Emulation - Epoch # 25 - loss => 0.04555059349349825
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,794 INFO Emulation - Epoch # 26 - loss => 0.044329164126379925
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,873 INFO Emulation - Epoch # 27 - loss => 0.043184082705156626
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:09,952 INFO Emulation - Epoch # 28 - loss => 0.042107774984913984
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,032 INFO Emulation - Epoch # 29 - loss => 0.041092739577578516
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,117 INFO Emulation - Epoch # 30 - loss => 0.04013218159799452
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,196 INFO Emulation - Epoch # 31 - loss => 0.03921992310778403
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,275 INFO Emulation - Epoch # 32 - loss => 0.038350827653299675
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,354 INFO Emulation - Epoch # 33 - loss => 0.037520735951954924
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,434 INFO Emulation - Epoch # 34 - loss => 0.036726623402658476
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,513 INFO Emulation - Epoch # 35 - loss => 0.035965851830616916
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,592 INFO Emulation - Epoch # 36 - loss => 0.035235893255446384
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,672 INFO Emulation - Epoch # 37 - loss => 0.03453340759960475
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,751 INFO Emulation - Epoch # 38 - loss => 0.03385529128100836
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,830 INFO Emulation - Epoch # 39 - loss => 0.03319816902941052
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,909 INFO Emulation - Epoch # 40 - loss => 0.032558694046426126
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:10,988 INFO Emulation - Epoch # 41 - loss => 0.0319338303776982
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,068 INFO Emulation - Epoch # 42 - loss => 0.03132054980570104
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,148 INFO Emulation - Epoch # 43 - loss => 0.030715224579041137
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,227 INFO Emulation - Epoch # 44 - loss => 0.030113869737753103
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,306 INFO Emulation - Epoch # 45 - loss => 0.029512303816839988
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,385 INFO Emulation - Epoch # 46 - loss => 0.02890854738894608
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,464 INFO Emulation - Epoch # 47 - loss => 0.028304817751695067
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,544 INFO Emulation - Epoch # 48 - loss => 0.027708244469677987
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,623 INFO Emulation - Epoch # 49 - loss => 0.027126665307749143
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,702 INFO Emulation - Epoch # 50 - loss => 0.026564595398384256
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,781 INFO Emulation - Epoch # 51 - loss => 0.026023316195081452
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,860 INFO Emulation - Epoch # 52 - loss => 0.0255023536687612
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:11,939 INFO Emulation - Epoch # 53 - loss => 0.025001060651026634
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,019 INFO Emulation - Epoch # 54 - loss => 0.02451896339904888
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,098 INFO Emulation - Epoch # 55 - loss => 0.02405583236600349
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,177 INFO Emulation - Epoch # 56 - loss => 0.023611397615500858
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,257 INFO Emulation - Epoch # 57 - loss => 0.02318525245388994
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,336 INFO Emulation - Epoch # 58 - loss => 0.02277655472970886
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,415 INFO Emulation - Epoch # 59 - loss => 0.022384634398698033
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,495 INFO Emulation - Epoch # 60 - loss => 0.02200842649349338
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,574 INFO Emulation - Epoch # 61 - loss => 0.02164714283297782
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,653 INFO Emulation - Epoch # 62 - loss => 0.021299947952263025
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,733 INFO Emulation - Epoch # 63 - loss => 0.0209660619392475
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,812 INFO Emulation - Epoch # 64 - loss => 0.0206448663876783
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,891 INFO Emulation - Epoch # 65 - loss => 0.020335727713969878
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:29:12,970 INFO Emulation - Epoch # 66 - loss => 0.020038087100387264
