[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:43,896 INFO Emulation - Epoch # 26 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:44,665 INFO Emulation - Epoch # 27 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:45,433 INFO Emulation - Epoch # 28 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:46,213 INFO Emulation - Epoch # 29 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:46,992 INFO Emulation - Epoch # 30 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:47,778 INFO Emulation - Epoch # 31 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:48,559 INFO Emulation - Epoch # 32 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:49,345 INFO Emulation - Epoch # 33 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:50,132 INFO Emulation - Epoch # 34 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:50,925 INFO Emulation - Epoch # 35 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:51,719 INFO Emulation - Epoch # 36 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:52,511 INFO Emulation - Epoch # 37 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:53,317 INFO Emulation - Epoch # 38 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:54,128 INFO Emulation - Epoch # 39 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:54,935 INFO Emulation - Epoch # 40 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:55,746 INFO Emulation - Epoch # 41 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:56,553 INFO Emulation - Epoch # 42 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:32:57,360 INFO Emulation - Epoch # 43 - loss => 17.332721507910527
